"BehaviorSpace results (NetLogo 6.0.2)"
"project1.nlogo"
"bothBlocking-bothWaysOff-firstBlue"
"03/20/2018 22:39:52:673 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","12","0","19"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","151","152","153","154","155","156","157","158","159","160","161","162","163","164","165","166","167","168","169","170","171","172","173","174","175","176","177","178","179","180","181","182","183","184","185","186","187","188","189","190","191","192","193","194","195","196","197","198","199","200"
"blueStrategy","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking"""
"priorityWay","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random"""
"debug","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"both-ways","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"human","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"first-player","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue"""
"redStrategy","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking"""
"[steps]","61","67","67","56","67","70","58","76","63","64","58","48","82","61","61","66","66","63","68","73","1000","70","52","79","65","66","71","64","66","63","62","66","1000","1000","66","70","65","66","75","63","72","59","63","62","71","62","66","81","66","68","65","69","61","46","63","65","61","65","68","73","54","65","66","69","67","80","63","61","58","52","77","81","78","1000","72","71","73","82","82","58","60","71","83","61","65","56","77","61","65","65","76","62","76","71","76","65","60","73","81","75","76","65","76","72","71","70","64","74","65","56","69","70","67","62","70","45","62","76","62","65","82","76","69","66","61","62","84","73","73","55","64","61","68","53","62","64","54","68","1000","65","59","62","75","71","69","62","73","69","60","66","70","58","69","67","59","67","68","62","56","40","66","65","76","76","68","77","67","63","63","66","64","65","64","61","70","65","65","64","56","49","65","60","46","71","74","66","65","56","59","71","62","72","70","62","57","66","62","72","1000","60"

"[initial & final values]","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color"
