"BehaviorSpace results (NetLogo 6.0.2)"
"project1.nlogo"
"bothBlocking-bothWaysOff-firstRed"
"03/20/2018 22:22:49:364 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","12","0","19"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","151","152","153","154","155","156","157","158","159","160","161","162","163","164","165","166","167","168","169","170","171","172","173","174","175","176","177","178","179","180","181","182","183","184","185","186","187","188","189","190","191","192","193","194","195","196","197","198","199","200"
"blueStrategy","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking"""
"priorityWay","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random"""
"debug","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"both-ways","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"human","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"first-player","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red"""
"redStrategy","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking"""
"[steps]","54","77","79","50","55","68","61","50","74","61","67","62","79","68","72","68","64","71","75","59","80","79","71","76","58","66","63","54","55","68","67","66","68","65","67","62","69","69","66","72","76","61","68","62","51","55","1000","79","61","79","1000","59","59","66","61","51","75","62","61","75","60","56","70","62","71","65","55","68","56","64","68","77","59","67","61","80","68","75","58","63","56","52","60","56","68","64","75","46","66","77","75","68","71","75","64","73","68","77","71","52","73","74","68","66","66","58","79","61","71","58","63","66","71","72","67","71","72","65","69","83","68","81","57","66","71","80","57","67","65","62","69","67","59","71","67","58","51","59","56","62","43","70","66","61","65","77","1000","44","62","58","68","69","59","1000","72","66","63","68","46","66","69","65","61","70","60","64","72","58","71","81","72","72","79","82","63","69","63","66","82","67","1000","69","68","66","78","44","57","69","58","61","66","1000","61","68","81","70","77","70","61","58"

"[initial & final values]","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color"
