"BehaviorSpace results (NetLogo 6.0.2)"
"project1.nlogo"
"blueBlocking-redShortest-bothWaysOff-firstBlue"
"03/21/2018 22:01:12:207 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","12","0","19"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","151","152","153","154","155","156","157","158","159","160","161","162","163","164","165","166","167","168","169","170","171","172","173","174","175","176","177","178","179","180","181","182","183","184","185","186","187","188","189","190","191","192","193","194","195","196","197","198","199","200"
"blueStrategy","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking"""
"debug","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"priorityWay","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random"""
"both-ways","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"human","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"first-player","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue"""
"redStrategy","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest"""
"[steps]","56","51","34","38","44","70","28","38","39","39","200","74","65","47","44","39","50","35","39","44","32","33","41","33","51","46","37","30","44","40","41","43","71","40","31","40","32","37","33","38","44","51","31","49","47","41","45","33","49","69","97","54","32","54","47","25","48","42","30","38","28","37","49","42","49","24","71","35","38","35","31","68","28","32","30","42","33","41","39","32","47","70","42","41","41","37","53","38","26","37","36","40","32","60","37","200","48","52","43","38","40","70","46","81","41","37","31","34","29","38","52","41","45","48","56","32","42","30","41","44","36","32","37","31","36","47","40","35","31","52","32","39","50","41","42","35","44","34","39","59","36","43","36","36","46","33","43","46","46","39","45","32","52","35","43","46","32","40","29","40","44","30","48","36","45","29","34","45","76","29","29","53","38","70","24","35","32","46","35","41","48","44","38","42","59","39","75","37","39","39","51","50","40","39","33","38","64","41","31","42"

"[initial & final values]","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color"
