"BehaviorSpace results (NetLogo 6.0.2)"
"project1.nlogo"
"blueBlocking-redShortest-bothWaysOff-firstRed"
"03/21/2018 21:58:20:343 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","12","0","19"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","151","152","153","154","155","156","157","158","159","160","161","162","163","164","165","166","167","168","169","170","171","172","173","174","175","176","177","178","179","180","181","182","183","184","185","186","187","188","189","190","191","192","193","194","195","196","197","198","199","200"
"blueStrategy","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking"""
"debug","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"priorityWay","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random"""
"both-ways","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"human","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"first-player","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red"""
"redStrategy","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest"""
"[steps]","24","22","29","39","46","39","51","42","41","44","31","29","49","33","41","39","41","53","27","40","45","29","78","36","34","36","26","44","34","32","35","43","42","49","54","48","32","42","22","35","38","45","28","83","34","42","38","40","37","45","30","35","31","35","46","49","64","44","33","33","40","46","32","43","28","36","44","43","26","30","41","38","49","29","32","44","40","35","30","35","33","44","54","64","28","43","40","32","33","24","28","51","34","79","41","39","33","35","29","45","47","38","36","56","55","50","29","33","35","36","30","63","34","46","46","41","30","27","40","35","45","27","47","64","43","38","47","33","83","32","33","34","44","30","40","45","37","71","32","27","29","49","36","42","24","37","35","41","29","33","44","32","62","36","41","38","30","36","37","48","34","71","200","50","50","40","49","30","29","40","33","27","36","46","39","44","38","46","41","48","80","43","34","46","34","46","60","24","32","38","36","39","32","44","34","24","46","72","30","36"

"[initial & final values]","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color"
