"BehaviorSpace results (NetLogo 6.0.2)"
"project1.nlogo"
"blueShortest-redBlocking-bothWaysOff-firstBlue"
"03/21/2018 21:47:30:977 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","12","0","19"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","151","152","153","154","155","156","157","158","159","160","161","162","163","164","165","166","167","168","169","170","171","172","173","174","175","176","177","178","179","180","181","182","183","184","185","186","187","188","189","190","191","192","193","194","195","196","197","198","199","200"
"blueStrategy","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest""","""shortest"""
"debug","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"priorityWay","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random"""
"both-ways","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"human","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"first-player","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue"""
"redStrategy","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking""","""blocking"""
"[steps]","34","54","75","43","40","40","27","36","37","32","48","44","38","31","39","50","41","44","38","200","33","35","53","37","36","47","36","47","49","60","33","41","29","43","36","42","32","37","42","77","41","49","54","33","31","36","36","34","34","29","70","30","50","57","35","33","32","30","31","26","53","22","32","47","57","43","70","47","33","38","34","34","46","43","40","40","34","76","32","32","39","30","55","38","42","34","42","33","33","33","36","41","29","42","40","21","36","35","30","35","31","38","35","45","35","38","36","35","34","37","46","31","30","32","44","36","36","40","62","70","38","31","77","44","61","70","49","35","28","38","31","34","38","200","31","77","45","38","39","38","30","47","37","39","28","27","48","55","38","35","41","40","57","32","80","65","41","39","54","44","43","32","41","76","33","38","34","46","46","38","37","43","40","54","35","34","38","47","35","39","42","32","40","60","32","33","72","43","42","52","49","47","31","31","50","78","200","40","41","42"

"[initial & final values]","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color"
