"BehaviorSpace results (NetLogo 6.0.2)"
"Polreich_Hex.nlogo"
"bothRandom-bothWaysOn-firstRed"
"03/25/2018 23:15:46:793 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","12","0","19"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","87"
"blueStrategy","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random"""
"priorityWay","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random"""
"debug","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"both-ways","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true"
"human","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"first-player","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red""","""red"""
"redStrategy","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random""","""random"""
"[steps]","78","71","77","100","68","72","79","82","76","79","80","76","72","78","82","73","82","100","71","62","100","57","75","52","74","79","67","82","71","74","76","78","64","80","80","81","66","100","79","79","70","79","79","66","82","63","69","70","70","100","79","67","82","71","77","100","68","74","79","75","100","71","79","74","82","78","70","80","59","81","71","80","78","79","80","81","100","68","56","66","82","61","72","76","70","53"

"[initial & final values]","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color","winner-color"
,"""red""","""blue""","""red""","""red""","""red""","""blue""","""blue""","""red""","""blue""","""red""","""red""","""red""","""blue""","""red""","""red""","""blue""","""blue""","""red""","""red""","""blue""","""red""","""blue""","""blue""","""red""","""red""","""red""","""red""","""red""","""blue""","""red""","""red""","""red""","""blue""","""red""","""blue""","""red""","""blue""","""red""","""blue""","""red""","""red""","""red""","""red""","""blue""","""blue""","""blue""","""blue""","""blue""","""blue""","""red""","""red""","""red""","""red""","""blue""","""red""","""red""","""blue""","""red""","""red""","""blue""","""red""","""blue""","""blue""","""red""","""blue""","""red""","""red""","""red""","""red""","""red""","""blue""","""red""","""red""","""red""","""blue""","""red""","""red""","""red""","""blue""","""red""","""red""","""blue""","""blue""","""red""","""blue""","""red"""
